region,siteID,date,bandNumber
Pittsburgh,MADJDAVPA1,2018-03-04,2661-08096
Pittsburgh,AZARCARPA1,2018-03-09,2771-42114
Pittsburgh,AZARCARPA1,2018-03-04,2771-42116
Pittsburgh,AZARCARPA1,2018-03-05,2771-42116
Pittsburgh,AZARCARPA1,2018-03-06,2771-42116
Pittsburgh,AZARCARPA1,2018-03-08,2771-42116
DC,BARBJERMD1,2018-03-06,2651-56243
DC,CAMPGLOMD1,2018-03-11,2651-51860
Raleigh,BEARKARNC1,2018-03-05,851-39846
Pittsburgh,DEMAPATPA1,2018-03-05,1352-46401
Pittsburgh,DEMAPATPA1,2018-03-05,1352-46401
DC,TANGLAUDC1,2018-03-11,2651-56781
DC,TANGLAUDC1,2018-03-10,incorrect date - in the future
DC,TANGLAUDC1,2018-03-10,2651-56781
Pittsburgh,RIGAMARPA1,2018-03-08,2711-77843
Raleigh,WILLAMBNC1,2018-03-11,2790-45051
DC,TATEJUAMD1,2018-03-10,2710-53791
Pittsburgh,FERKHOLPA1,2018-03-11,2750-45399
Pittsburgh,FERKHOLPA1,2018-03-11,2651-56428
Pittsburgh,FERKHOLPA1,2018-03-11,2750-63913
Pittsburgh,FERKHOLPA1,2018-03-11,2641-96614
Gainesville,ROBIRONFL1,2018-03-11,2331-09151
Gainesville,ROBIRONFL1,2018-03-11,2711-54347
Gainesville,ROBIRONFL1,2018-03-11,2701-39136
Gainesville,ROBIRONFL1,2018-03-11,2641-96747
Pittsburgh,BERASHEPA1,2018-03-11,2771-42102
Raleigh,HARABARNC1,2018-03-08,2701-55875
Raleigh,HARABARNC1,2018-03-05,2701-55875
DC,GOCHJOAMD1,2018-03-11,2710-54263
DC,GOCHJOAMD1,2018-03-11,2791-03511
Springfield,BENNBILMA1,2018-03-05,2651-65684
Pittsburgh,FOYLDONPA1,2018-03-05,1352-46039
Pittsburgh,KILEHAYPA1,2018-03-11,2711-77414
Springfield,ATHEJIMMA2,2018-03-11,2780-93407
Springfield,ATHEJIMMA2,2018-03-05,2780-93407
DC,GOCHJOAMD1,2018-03-09,2840-12414
DC,GOCHJOAMD1,2018-03-08,2840-12414
DC,GOCHJOAMD1,2018-03-08,2840-12414
DC,TANGLAUDC1,2018-03-09,2651-56781
DC,TANGLAUDC1,2018-03-08,2651-56781
Gainesville,CASEANNFL1,2018-03-04,2711-54383
Gainesville,CASEANNFL1,2018-03-04,2711-54388
Gainesville,CASEANNFL1,2018-03-04,1352-46103
Gainesville,CASEANNFL1,2018-03-04,2641-96738
Gainesville,CHURCARFL1,2018-03-06,2711-54355
Gainesville,CHURCARFL1,2018-03-11,2701-39139
Gainesville,ROBIRONFL1,2018-03-04,2711-54347
Gainesville,ROBIRONFL1,2018-03-05,2711-54347
Gainesville,ROBIRONFL1,2018-03-08,2711-54347
Gainesville,ROBIRONFL1,2018-03-09,2711-54347
Gainesville,ROBIRONFL1,2018-03-08,2590-82054
Gainesville,ROBIRONFL1,2018-03-09,2590-82054
DC,BEALTOMMD1,2018-03-05,2421-11549
DC,BEALTOMMD1,2018-03-11,2651-47525
DC,STEWBETMD1,2018-03-05,2750-41362
DC,STEWBETMD1,2018-03-06,2750-41362
DC,STEWBETMD1,2018-03-10,2750-41362
DC,STEWBETMD1,2018-03-05,2710-54233
DC,STEWBETMD1,2018-03-06,2710-54233
DC,STEWBETMD1,2018-03-10,2710-54233
DC,STEWBETMD1,2018-03-05,2651-56204
DC,STEWBETMD1,2018-03-10,2651-56204
DC,STEWBETMD1,2018-03-10,2711-54845
DC,STEWBETMD1,2018-03-06,2711-54845
DC,JACOSYDMD1,2018-03-04,2730-24778
DC,JACOSYDMD1,2018-03-08,2730-24778
DC,JACOSYDMD1,2018-03-04,2791-03508
DC,JACOSYDMD1,2018-03-11,2791-03508
DC,JACOSYDMD1,2018-03-04,2791-03509
DC,JACOSYDMD1,2018-03-04,2641-96895
DC,JACOSYDMD1,2018-03-07,2641-96895
DC,JACOSYDMD1,2018-03-08,2641-96895
DC,JACOSYDMD1,2018-03-09,2641-96895
DC,JACOSYDMD1,2018-03-09,2641-96895
DC,SALOSHEMD1,2018-03-05,2701-39080
DC,SALOSHEMD1,2018-03-05,2750-41588
DC,TATEJUAMD1,2018-03-09,2641-63968
DC,TATEJUAMD1,2018-03-07,2641-63969
DC,TATEJUAMD1,2018-03-07,2710-53791
DC,TATEJUAMD1,2018-03-08,2710-53791
DC,RAUNERIMD2,2018-03-10,2531-74574
DC,REITBOBMD1,2018-03-07,2771-42007
Pittsburgh,KILEHAYPA1,2018-03-07,2711-77414
Pittsburgh,MEALRYAPA1,2018-03-04,2651-56644
Pittsburgh,FOYLDONPA1,2018-03-11,2421-04318
Pittsburgh,FOYLDONPA1,2018-03-11,2840-18536
Pittsburgh,FOYLDONPA1,2018-03-07,2840-18536
Pittsburgh,FOYLDONPA1,2018-03-05,2750-64199
Pittsburgh,AZARCARPA1,2018-03-09,2771-42116
Atlanta,HOPKMARGA1,2018-03-10,2701-39053
Pittsburgh,GETZGLEPA1,2018-03-04,2750-63861
Raleigh,BUDNNORNC1,2018-03-04,0851-39967
Atlanta,HOPKMARGA1,2018-03-10,2711-77694
Raleigh,BUDNNORNC1,2018-03-04,2711-64125
Raleigh,BUDNNORNC1,2018-03-04,2771-40547
Pittsburgh,AZARCARPA1,2018-03-05,2421-04308
DC,VERSBETMD2,2018-03-11,2651-52195
Pittsburgh,AZARCARPA1,2018-03-07,2421-04308
Pittsburgh,AZARCARPA1,2018-03-08,2421-04308
Pittsburgh,AZARCARPA1,2018-03-09,2421-04308
Raleigh,MOSELYNNC1,2018-03-04,2701-55864
Raleigh,MOSELYNNC1,2018-03-04,1352-92425
Pittsburgh,AZARCARPA1,2018-03-09,	2421-04309
DC,VERSBETMD2,2018-03-10,2750-64320
DC,VERSBETMD2,2018-03-07,2641-63776
Pittsburgh,FERKHOLPA1,2018-03-04,2750-45400
DC,BUISNORVA1,2018-03-09,2750-64353
DC,COLSKATMD1,2018-03-11,2750-44446
Pittsburgh,FERKHOLPA1,2018-03-04,2570-44789
Pittsburgh,DEPHKATPA1,2018-03-09,2541-40511
Pittsburgh,FERKHOLPA1,2018-03-04,2641-96614
Pittsburgh,DEPHKATPA1,2018-03-09,	2840-18506
Pittsburgh,FERKHOLPA1,2018-03-04,2750-63913
Pittsburgh,DEPHKATPA1,2018-03-09,	2840-18507
Atlanta,SWALDAWGA1,2018-03-11,2710-25731
Atlanta,SWALDAWGA1,2018-03-10,2710-25731
Pittsburgh,FERKHOLPA1,2018-03-04,2651-56428
Pittsburgh,FERKHOLPA1,2018-03-04,2570-44788
Raleigh,MOSELYNNC1,2018-03-10,2701-55862
Pittsburgh,FERKHOLPA1,2018-03-04,2711-57689
Pittsburgh,BERASHEPA1,2018-03-05,	2421-04301
Pittsburgh,BERASHEPA1,2018-03-09,2771-42102
Pittsburgh,BERASHEPA1,2018-03-10,2771-42102
Pittsburgh,KARMALYPA3,2018-03-04,2711-57671
Raleigh,WALTANNNC1,2018-03-05,1352-92426
Pittsburgh,BERASHEPA1,2018-03-05,2771-42102
Raleigh,WALTANNNC1,2018-03-09,1352-92426
Raleigh,WALTANNNC1,2018-03-10,1352-92426
Raleigh,WALTANNNC1,2018-03-05,2711-64070
Pittsburgh,FERKHOLPA1,2018-03-05,	2570-44789
Pittsburgh,MADJDAVPA1,2018-03-05,2741-54817
Raleigh,WALTANNNC1,2018-03-05,	2790-45015
Raleigh,MOSELYNNC1,2018-03-05,	1352-92425
Raleigh,WALTANNNC1,2018-03-09,	2790-45015
Raleigh,LOFLKATNC1,2018-03-04,0951-61593
Raleigh,LOFLKATNC1,2018-03-04,	851-39857
Raleigh,LOFLKATNC1,2018-03-05,2180-92431
Raleigh,MOSELYNNC1,2018-03-11,2771-40401
Pittsburgh,WOLFMELPA1,2018-03-05,2750-63805
Raleigh,MOSELYNNC1,2018-03-11,1352-92425
Raleigh,DEBRMARNC1,2018-03-10,	0851-39955
Atlanta,NEWMCHRGA1,2018-03-05,1292-64588
Pittsburgh,DEPHKATPA1,2018-03-05,2690-96112
Pittsburgh,DEPHKATPA1,2018-03-05,2750-63970
Pittsburgh,KARMALYPA3,2018-03-07,2711-57669
Pittsburgh,KARMALYPA3,2018-03-07,2711-57671
Pittsburgh,KARMALYPA3,2018-03-07,2711-57673
Pittsburgh,KARMALYPA3,2018-03-06,2711-57671
Raleigh,BEEGERLNC1,2018-03-06,2701-55835
Pittsburgh,AZARCARPA1,2018-03-09,2771-42117
Pittsburgh,MEALRYAPA1,2018-03-05,2750-45176
Pittsburgh,MOLLRUSPA1,2018-03-04,	2750-63868
Pittsburgh,BARTTARPA1,2018-03-07,	2641-64059
Gainesville,ROBIRONFL1,2018-03-07,2641-96752
Gainesville,ROBIRONFL1,2018-03-08,2641-96752
Gainesville,ROBIRONFL1,2018-03-09,2641-96752
Gainesville,ROBIRONFL1,2018-03-10,2641-96752
Pittsburgh,GERHEUNPA1,2018-03-10,2421-04347
Pittsburgh,GERHEUNPA1,2018-03-10,	2741-54788
Raleigh,LOFLKATNC1,2018-03-06,2180-92432
Raleigh,LOFLKATNC1,2018-03-06,851-39855
Pittsburgh,BARTTARPA1,2018-03-10,	2641-64059
Gainesville,ROBIRONFL1,2018-03-09,2701-39136
Gainesville,ROBIRONFL1,2018-03-07,2701-39136
Gainesville,ROBIRONFL1,2018-03-08,2701-39136
Gainesville,ROBIRONFL1,2018-03-10,2701-39136
Atlanta,HOGAMELGA1,2018-03-04,2711-58045
Atlanta,HOGAMELGA1,2018-03-06,2711-58045
Pittsburgh,DEPHKATPA1,2018-03-10,2840-18506
Pittsburgh,BERASHEPA1,2018-03-06,	2771-42102
Atlanta,NEWMCHRGA1,2018-03-09,	1292-64588
Atlanta,SWALDAWGA1,2018-03-05,2710-25731
Atlanta,SWALDAWGA1,2018-03-06,2710-25731
Atlanta,SWALDAWGA1,2018-03-05,2671-01975
Raleigh,MOSELYNNC1,2018-03-06,1352-92425
Pittsburgh,FERKHOLPA1,2018-03-09,2750-45400
Raleigh,MOSELYNNC1,2018-03-06,2701-55863
DC,BARBJERMD1,2018-03-05,2651-56716
DC,BARBJERMD1,2018-03-06,2750-41387
Pittsburgh,FERKHOLPA1,2018-03-06,2750-45400
Pittsburgh,FERKHOLPA1,2018-03-09,	2641-96614
Pittsburgh,WOLFMELPA1,2018-03-06,2750-63805
Pittsburgh,FERKHOLPA1,2018-03-09,	2651-56428
Gainesville,ROBIRONFL1,2018-03-05,2701-39137
Gainesville,ROBIRONFL1,2018-03-08,2701-39137
Gainesville,ROBIRONFL1,2018-03-09,2701-39137
Pittsburgh,FERKHOLPA1,2018-03-09,2570-44788
Pittsburgh,FERKHOLPA1,2018-03-09,	2750-45399
Pittsburgh,KILEHAYPA1,2018-03-05,2711-77414
Pittsburgh,KILEHAYPA1,2018-03-06,2711-77414
Pittsburgh,FERKHOLPA1,2018-03-09,	1781-50446
Pittsburgh,KILEHAYPA1,2018-03-05,2750-63905
Pittsburgh,FERKHOLPA1,2018-03-09,	1781-50444
Pittsburgh,FOYLDONPA1,2018-03-06,2750-64199
Pittsburgh,THOMDEBPA1,2018-03-09,	2441-14806
Pittsburgh,DEPHKATPA1,2018-03-06,2840-18506
Pittsburgh,DEPHKATPA1,2018-03-06,2840-18507
Raleigh,HINTLORNC1,2018-03-09,	2771-40552
Raleigh,BEEGERLNC1,2018-03-07,1352-92507
Pittsburgh,FERKHOLPA1,2018-03-08,	2750-63913
Pittsburgh,GERHEUNPA1,2018-03-07,2651-51765
Pittsburgh,FERKHOLPA1,2018-03-07,2711-57689
Pittsburgh,FERKHOLPA1,2018-03-06,2711-57689
Pittsburgh,DEPHKATPA1,2018-03-07,2840-18506
Pittsburgh,FERKHOLPA1,2018-03-08,2570-44788
Pittsburgh,FERKHOLPA1,2018-03-06,	2651-56428
DC,COLSKATMD1,2018-03-05,2750-44446
DC,COLSKATMD1,2018-03-07,2531-74593
Colorado,FROSKATCO1,2018-03-07,	2720-56375
Raleigh,HARVSUENC1,2018-03-08,	2180-92578
Raleigh,HARVSUENC1,2018-03-06,	2180-92578
Raleigh,HARVSUENC1,2018-03-07,	2180-92578
Raleigh,HARVSUENC1,2018-03-04,	2180-92578
Pittsburgh,GERHEUNPA1,2018-03-08,2421-04347
Pittsburgh,LEEJOEPA1,2018-03-05,1781-50409
Pittsburgh,GERHEUNPA1,2018-03-08,2651-51765
Raleigh,MOSELYNNC1,2018-03-09,	1352-92425
Pittsburgh,FOYLDONPA1,2018-03-07,2421-04317
Pittsburgh,FOYLDONPA1,2018-03-07,	2421-04318
Pittsburgh,THOMDEBPA1,2018-03-08,2750-63961
Pittsburgh,THOMDEBPA1,2018-03-08,2750-63962
Pittsburgh,BERASHEPA1,2018-03-07,2771-42102
Raleigh,HARVSUENC1,2018-03-05,	2180-92580
Raleigh,HARVSUENC1,2018-03-08,	0851-39818
Atlanta,BELMNIKGA1,2018-03-07,	2651-47415
Pittsburgh,MADJDAVPA1,2018-03-08,1781-50465
Pittsburgh,BERASHEPA1,2018-03-08,2771-42102
DC,COLSKATMD1,2018-03-08,2531-74593
DC,COLSKATMD1,2018-03-09,2531-74593
Springfield,HALALEEMA1,2018-03-11,2750-34946
Raleigh,DURBLAUNC1,2018-03-08,2711-64016
DC,COLSKATMD1,2018-03-09,	2750-44446
DC,COLSKATMD1,2018-03-09,	2750-44446
Springfield,HALALEEMA1,2018-03-04,2750-34947
DC,COLSKATMD1,2018-03-08,	2750-44446
Raleigh,MOSELYNNC1,2018-03-08,	1352-92425
DC,LAFOMELVA1,2018-03-05,2651-56295
Pittsburgh,LYNCPATPA1,2018-03-04,1761-81933
Pittsburgh,LYNCPATPA1,2018-03-05,2641-64093
Raleigh,SIMPEDWNC1,2018-03-06,1352-92502
Springfield,MERIMARMA1,2018-03-04,2690-87794
Springfield,DOPPJANMA1,2018-03-06,2690-87755
Springfield,DOPPJANMA1,2018-03-06,2750-34995
Springfield,DOPPJANMA1,2018-03-05,2750-34995
Springfield,GRIFRACMA1,2018-03-07,2750-34984
Springfield,GRIFRACMA1,2018-03-08,2750-34984
Springfield,DOPPJANMA1,2018-03-08,2690-87755
Springfield,MERIMARMA1,2018-03-09,2780-93291
Springfield,MERIMARMA1,2018-03-09,2690-87789
Springfield,GRIFRACMA1,2018-03-09,2750-34984
Springfield,HIGGBETMA1,2018-03-09,2651-43543
Springfield,DOPPJANMA1,2018-03-09,2690-87755
Springfield,AKREMICMA2,2018-03-11,2780-93412
